Fauna,Credit,Page
Adamantinasuchus,Nobu Tamura,http://phylopic.org/image/1de50190-80bd-4ac1-bad1-eccf5f38e23d/
Agnosphitys,Iain Reid,http://phylopic.org/image/05d79645-d985-494d-a239-0e142c46d203/
Allosaurus,Scott Hartman,http://phylopic.org/image/a3fe8af3-8bcf-469a-b3d8-08bc0f071c98/
Ankylopollexia,Scott Hartman,http://phylopic.org/image/a97ee226-fed8-4431-a008-15a6cccf98bd/
Aquilops,Andrew A. Farke,http://phylopic.org/image/fd22540d-29a4-4b95-8a7e-ec9ab81f031d/
Araripesuchus,"Todd Marshall, vectorized by Zimices",http://phylopic.org/image/2ff63c9f-f1c3-4cbf-9396-d6038d1cb9c1/
Aviatyrannis,Iain Reid,http://phylopic.org/image/c557874a-1438-4189-b364-1bb0db13effe/
Balaur,Emily Willoughby,http://phylopic.org/image/e1cf00c8-81b8-41c8-8fd1-c5f215c5bb53/
Baurusuchus,"Smokeybjb, vectorized by Zimices",http://phylopic.org/image/734ef782-b204-4fad-8e70-7190731b8237/
Calcarichelys,Piggle Pig Swillbucket,http://phylopic.org/image/e3b3636a-14c6-4256-83ee-28f5913574ed/
Changyuraptor,Emily Willoughby,http://phylopic.org/image/be5d1a4b-c6e8-4dbc-a8d6-0680abf886af/
Chindesaurus,Iain Reid,http://phylopic.org/image/79d397db-f503-48a9-853a-3357458b76df/
Citipati,Emily Willoughby,http://phylopic.org/image/b82711c1-4c4c-4fdd-b9ff-2bcd48aa4cd1/
Coelophysis,Emily Willoughby,http://phylopic.org/image/85008e98-2194-4844-bff9-4c5513ddd117/
Compsognathus,John Conway,http://phylopic.org/image/36c77c59-0069-4b2a-b2ae-a213cd94ab1d/
Crocodylus,Nobu Tamura,http://phylopic.org/image/c60b0e39-1437-4bb4-8940-f6da3d943adf/
Deinocheirus,T. Michael Keesey,http://phylopic.org/image/79676d45-ee23-469a-be96-2d79acfe6dcb/
Delapparentia,Iain Reid,http://phylopic.org/image/42bafc80-610d-4c5b-9553-771974ea6102/
Dilophosaurus,Robert Gay,http://phylopic.org/image/72c81af2-b4c1-4dd7-855d-4b38b4ec5ddd/
Dimetrodon,Scott Hartman,http://phylopic.org/image/ee7f1c8c-c98d-4611-aa4e-c112e86782e6/
Dreanoughtus,Kenneth Lacovara,http://phylopic.org/image/41039e8c-2baa-489e-9a0d-b6798f9b79e0/
Dromornis,Zimices,http://phylopic.org/image/851a3de9-f4a4-4baf-b6ee-4c63588d643b/
Dunkleosteus,Scott Hartman,http://phylopic.org/image/25599138-d35f-4c72-9c2f-800749cedf74/
Edmontosaurus,Nobu Tamura (vectorized by T. Michael Keesey),http://phylopic.org/image/644ea657-afb6-4a78-9f63-24b5bbfab0b0/
Eocursor,Scott Hartman,http://phylopic.org/image/49ef6b14-7434-465c-8c54-d27d5b7af574/
Eocursor parvus,Mathew Wedel,http://phylopic.org/image/a5047982-35ad-4d7c-86c7-9f6232d4b2b2/
Eretmochelys,James R. Spotila and Ray Chatterji,http://phylopic.org/image/f38583f2-b978-4bfe-afba-7bcd18efac60/
Eudibamus,Nobu Tamura,http://phylopic.org/image/07f711b6-d995-4abd-89f1-2282c85a727c/
Fruitadens,Mathew Wedel,http://phylopic.org/image/26245351-d851-4ee0-8a85-1740e798ef43/
Gobivenator,Danny Cicchetti (vectorized by T. Michael Keesey),http://phylopic.org/image/fe24c8b2-a979-407e-a5fb-ba3a785e57f7/
Gopherus,Andrew A. Farke,http://phylopic.org/image/fb405890-27fb-4dbc-b1e5-e7f38a185404/
Grippia,Dmitry Bogdanov,http://phylopic.org/image/ab7194d3-1d74-4029-a6b1-81663a25dc13/
Guanlong,Scott Hartman,http://phylopic.org/image/aa01d4be-7ae3-472d-92b0-408616a9d8b9/
Guarinisuchus,"Nobu Tamura, vectorized by Zimices",http://phylopic.org/image/3348bfd5-c5c2-4992-a8d9-67caee449bb7/
Haestasaurus,Iain Reid,http://phylopic.org/image/baf9b47e-5ec9-45e9-828e-c6e206e8e95a/
Huayangosaurus,Scott Hartman,http://phylopic.org/image/bf8a347b-5e36-4f59-ab40-8e0cbe889aee/
Hyaenodon,Robert Bruce Horsfall,http://phylopic.org/image/8e3178f8-8171-4b2d-90cc-9b2dce76bdf8/
Hypsilophodon,Scott Hartman,http://phylopic.org/image/99794ff6-9199-47c8-88a4-8054c5a749a8/
Hypsilophodon foxii,Mathew Wedel,http://phylopic.org/image/62caaa0d-691d-4cff-8f2c-5cf8c230de95/
Ictitherium,Zimices,http://phylopic.org/image/66dcc718-b94d-4a15-bfc5-1914b71b24ea/
Iguanodon,Scott Hartman,http://phylopic.org/image/f8a7e9e5-9e37-43c7-ac64-aa31ba8c9801/
Kayentavenator,Iain Reid,http://phylopic.org/image/f327468f-0fe9-4416-9ca8-fff9f0695444/
Kentrosaurus,Scott Hartman,http://phylopic.org/image/61a7fd03-8551-4179-8b0d-f03379e23b74/
Kulindadromeus,Pete Buchholz,http://phylopic.org/image/55074c3d-5f91-4eae-a44d-e17447511c4d/
Laquintasaura,Scott Hartman,http://phylopic.org/image/1e8f0d85-cecf-49e9-8a3f-876d96b2929f/
Leptoceratops,Scott Hartman,http://phylopic.org/image/f84d8475-9304-4d09-b6c6-368fef476238/
Lesothosaurus,Jaime Headden,http://phylopic.org/image/df3e8dab-47c2-4734-b050-dfee5685cbfd/
Llallawavis,Zimices,http://phylopic.org/image/4127f84b-3bac-4b5a-bde0-380a09e93324/
Lufengosaurus,Iain Reid,http://phylopic.org/image/0ba39ffb-84b6-4516-97ac-8f8eb6fefc5a/
Malawisaurus,Scott Hartman,http://phylopic.org/image/64e59197-8e85-4bf1-8993-e46ad1cf526c/
Marasuchus,Scott Hartman,http://phylopic.org/image/f3b2a44b-c254-4fb2-a00a-6a1fc234f4e9/
Marasuchus lilloensis,Michael B.H.,http://phylopic.org/image/02bf553f-9a9d-44ad-bf9d-55fe7b14c6fb/
Megacerops,Zimices,http://phylopic.org/image/77a63718-b3f1-415b-93f8-1240ec7b2136/
Menoceras,"Robert Bruce Horsfall, vectorized by Zimices",http://phylopic.org/image/5bceef50-97af-4846-9c8f-faea38d00257/
Mesonyx,Zimices,http://phylopic.org/image/73624419-f6f1-41a7-becf-7f1c90d5b203/
Monolophosaurus,Scott Hartman,http://phylopic.org/image/ac27174f-f43f-47fe-8be1-5b4b6be2f80e/
Montanazhdarcho,Scott Hartman,http://phylopic.org/image/8e3352b9-fa98-4d80-b65b-4ee866370e52/
Mourasuchus,"Nicholas J. Czaplewski, vectorized by Zimices",http://phylopic.org/image/752e8dae-a715-4632-a337-048740e23d32/
Nqwebasaurus,Iain Reid,http://phylopic.org/image/665dc6e9-3eee-4fd5-81fb-02d45271e9df/
Ouranosaurus,Nobu Tamura (vectorized by T. Michael Keesey),http://phylopic.org/image/b147095e-826d-4f39-96f5-38e2e822f9a7/
Oxydactylus,Zimices,http://phylopic.org/image/a8d02d68-a7c3-4db4-b22c-c3a0c6f764d7/
Pachycephalosaurus,Emily Willoughby,http://phylopic.org/image/6105ff49-0bd0-477c-8bef-41b0c39fdca9/
Pachycrocuta,Zimices,http://phylopic.org/image/8e52800c-e326-4be8-9b79-b84f2de9338e/
Padillasaurus,Zimices,http://phylopic.org/image/a878800a-df2b-4b63-b286-965bc288f3a5/
Panochthus,Zimices,http://phylopic.org/image/989bff0e-957b-45f9-ab40-9d9c3a5f51fc/
Parasaurolophus,Jack Mayer Wood,http://phylopic.org/image/7d36a10c-43ff-41c5-a939-f3fd203d419c/
Pisanosaurus,Mathew Wedel,http://phylopic.org/image/0e465876-924d-4da6-befe-3dddc729ae98/
Plateosaurus,Jack Mayer Wood,http://phylopic.org/image/23027ce7-713d-4c28-97e2-aec0219266df/
Polonosuchus,Dmitry Bogdanov,http://phylopic.org/image/e551c7e1-64e0-4ed0-ab36-d539ba988ac4/
Protoceratops,Scott Hartman,http://phylopic.org/image/2b161c43-e834-4be3-b68f-52729066dd92/
Pseudemoia,Oliver Griffith,http://phylopic.org/image/f2c8db98-c34c-4140-a868-029bf4b557b1/
Rallus,Ferran Sayol,http://phylopic.org/image/cd5ca1a2-b0a9-4ce9-b163-5c004e327d9d/
Rapetosaurus,Mathew Wedel,http://phylopic.org/image/6ef5f66c-5bd8-491c-8569-c33576467d70/
Rhamphorhynchus,Scott Hartman,http://phylopic.org/image/d10e3a64-87dd-461e-9847-53a720c98052/
Ruehleia,Jack Mayer Wood,http://phylopic.org/image/e401eed5-29f1-42c8-abbd-1f18134734f6/
Sauropelta,Emily Willoughby,http://phylopic.org/image/9dc23409-1e36-402d-8be5-6b939f7fb664/
Scelidosaurus,Scott Hartman,http://phylopic.org/image/c8c0dd20-97cd-4190-8367-178e6e766248/
Scleromochlus,Jaime Headden,http://phylopic.org/image/9a9cffa6-b151-4260-babd-a66b1237d506/
Scleromochlus taylori,Jaime Headden,http://phylopic.org/image/88179cbe-c1ab-4367-9d17-86047f547bc9/
Shuvosaurus,Sarah Werning,http://phylopic.org/image/443f883d-487c-4e31-a8da-ad2c31e45040/
Silesaurus,Mathew Wedel,http://phylopic.org/image/054a0b43-ac08-473a-841e-725bc757cdee/
Stegodon,Zimices,http://phylopic.org/image/451fa4fd-3c6e-4368-88c1-ca75932449a3/
Stegomastodon,"Margret Flinsch, vectorized by Zimices",http://phylopic.org/image/1179b795-27b3-4c2a-a922-a3dbbe1e44df/
Stegosaurus,Scott Hartman,http://phylopic.org/image/95778172-ab3b-49a5-8f41-52a8db03a832/
Sthenurus,Zimices,http://phylopic.org/image/d244a4f8-69e4-45b0-8bbc-82cd5520db7e/
Stratiotosuchus,"Caio Bernardes, vectorized by Zimices",http://phylopic.org/image/3e436cff-6601-4629-a99e-ba0adeec3472/
Stygimoloch,Emily Willoughby,http://phylopic.org/image/dc73bebc-7294-493d-b64a-98addd6ea837/
Teleocrater,Scott Hartman,http://phylopic.org/image/d6c7783a-d639-4290-97ee-1d85394d480c/
Theiophytalia,Scott Hartman,http://phylopic.org/image/f020e28d-97f4-409b-9cad-65cbf35cc2cd/
Theosodon,Zimices,http://phylopic.org/image/c9c5af3a-1fed-4abf-a734-3473f89cae18/
Tianyulong,Emily Willoughby,http://phylopic.org/image/8c90fb70-ec89-4cc7-9675-8e6f034e8d02/
Titanoceratops,Nobu Tamura,http://phylopic.org/image/a2a5e9a6-2fd5-4f98-8c2a-79d8aecda9dc/
Tsintaosaurus,Nobu Tamura (vectorized by T. Michael Keesey),http://phylopic.org/image/a72a82c7-d2a2-41da-bb14-cdf717c7b665/
Tylosaurus,Scott Hartman,http://phylopic.org/image/8ae20f15-d9c1-45ff-a117-77f001b6eb0a/
Utahraptor,Scott Hartman,http://phylopic.org/image/67e75a1f-005c-4930-86e9-2c371defa500/
Utahraptor ostrommaysi,Emily Willoughby,http://phylopic.org/image/06662a5b-a115-4231-897a-a74570b1320f/
Velociraptor,Rebecca Groom,http://phylopic.org/image/cf3a5398-3946-4261-803c-1838d92eaeb9/
Xenoceratops,Scott Hartman,http://phylopic.org/image/e2611edc-59cc-4cfc-bae2-a2ed46e32763/
Yinlong,Andrew A. Farke,http://phylopic.org/image/580db433-c610-40df-b7d8-a3434ad158ed/
Zhenyuanlong,Emily Willoughby,http://phylopic.org/image/f9e142f8-a58b-43d7-b241-26a6f755e5b6/
Edmontosaurus regalis,Pete Buchholz,http://phylopic.org/image/77d954c4-88d2-4a38-818d-eb5fd7a88846/
Carcharocles megalodon,Scarlet23 (vectorized by T. Michael Keesey),http://phylopic.org/image/993d4e41-51b3-4c59-a4ad-b3dbd482968e/
Callorhinchus,Tambja (vectorized by T. Michael Keesey),http://phylopic.org/image/ca376e77-d339-4dcc-9719-b09d346eee34/
