"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"May, 1999"	"1999/05"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Sep., 1999"	"1999/09"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Nov., 1999"	"1999/11"	3	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"			6	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Feb., 2000"	"2000/02"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"May, 2000"	"2000/05"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Jun., 2000"	"2000/06"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Aug., 2000"	"2000/08"	1	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"			5	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Jan., 2001"	"2001/01"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Apr., 2001"	"2001/04"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Sep., 2001"	"2001/09"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Oct., 2001"	"2001/10"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Dec., 2001"	"2001/12"	1	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"			6	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Mar., 2002"	"2002/03"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Oct., 2002"	"2002/10"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Nov., 2002"	"2002/11"	1	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"			4	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Feb., 2003"	"2003/02"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Mar., 2003"	"2003/03"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"May, 2003"	"2003/05"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Jul., 2003"	"2003/07"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Aug., 2003"	"2003/08"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Nov., 2003"	"2003/11"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Dec., 2003"	"2003/12"	2	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"			9	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Jan., 2004"	"2004/01"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Apr., 2004"	"2004/04"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"May, 2004"	"2004/05"	3	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Jun., 2004"	"2004/06"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Oct., 2004"	"2004/10"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Nov., 2004"	"2004/11"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Dec., 2004"	"2004/12"	3	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"			13	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"	"Feb., 2005"	"2005/02"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"	"Mar., 2005"	"2005/03"	3	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"	"Apr., 2005"	"2005/04"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"	"May, 2005"	"2005/05"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"	"Jul., 2005"	"2005/07"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"	"Aug., 2005"	"2005/08"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"	"Sep., 2005"	"2005/09"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"	"Nov., 2005"	"2005/11"	3	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"			13	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Jan., 2006"	"2006/01"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Feb., 2006"	"2006/02"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Mar., 2006"	"2006/03"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Apr., 2006"	"2006/04"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Jun., 2006"	"2006/06"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Aug., 2006"	"2006/08"	3	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Sep., 2006"	"2006/09"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"	"Dec., 2006"	"2006/12"	1	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2006"	"2006"			11	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2007"	"2007"	"Feb., 2007"	"2007/02"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2007"	"2007"	"Mar., 2007"	"2007/03"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2007"	"2007"	"Apr., 2007"	"2007/04"	4	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2007"	"2007"	"May, 2007"	"2007/05"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2007"	"2007"	"Jun., 2007"	"2007/06"	3	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2007"	"2007"	"Jul., 2007"	"2007/07"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2007"	"2007"	"Aug., 2007"	"2007/08"	2	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2007"	"2007"	"Oct., 2007"	"2007/10"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2007"	"2007"	"Nov., 2007"	"2007/11"	2	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"2007"	"2007"			17	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2008"	"2008"	"Jan., 2008"	"2008/01"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2008"	"2008"	"Feb., 2008"	"2008/02"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2008"	"2008"	"Mar., 2008"	"2008/03"	1	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2008"	"2008"	"Apr., 2008"	"2008/04"	2	Not Applicable	Not Applicable
