"Notes"	"ICD Chapter"	"ICD Chapter Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jan., 1999"	"1999/01"	4463	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Feb., 1999"	"1999/02"	4094	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Mar., 1999"	"1999/03"	4766	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Apr., 1999"	"1999/04"	3914	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"May, 1999"	"1999/05"	3677	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jun., 1999"	"1999/06"	3365	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jul., 1999"	"1999/07"	3436	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Aug., 1999"	"1999/08"	3469	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Sep., 1999"	"1999/09"	3516	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Oct., 1999"	"1999/10"	3696	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Nov., 1999"	"1999/11"	3798	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Dec., 1999"	"1999/12"	4461	Not Applicable	Not Applicable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"			46655	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jan., 2000"	"2000/01"	5122	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Feb., 2000"	"2000/02"	4159	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Mar., 2000"	"2000/03"	3901	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Apr., 2000"	"2000/04"	3622	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"May, 2000"	"2000/05"	3603	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jun., 2000"	"2000/06"	3499	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jul., 2000"	"2000/07"	3516	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Aug., 2000"	"2000/08"	3635	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Sep., 2000"	"2000/09"	3569	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Oct., 2000"	"2000/10"	3803	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Nov., 2000"	"2000/11"	3823	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Dec., 2000"	"2000/12"	4381	Not Applicable	Not Applicable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"			46633	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Jan., 2001"	"2001/01"	4558	Not Applicable	Not Applicable
