"Notes"	"ICD Chapter"	"ICD Chapter Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jan., 1999"	"1999/01"	103	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Feb., 1999"	"1999/02"	113	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Mar., 1999"	"1999/03"	121	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Apr., 1999"	"1999/04"	79	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"May, 1999"	"1999/05"	69	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jun., 1999"	"1999/06"	77	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jul., 1999"	"1999/07"	78	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Aug., 1999"	"1999/08"	77	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Sep., 1999"	"1999/09"	63	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Oct., 1999"	"1999/10"	78	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Nov., 1999"	"1999/11"	82	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Dec., 1999"	"1999/12"	115	Not Applicable	Not Applicable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"			1055	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jan., 2000"	"2000/01"	108	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Feb., 2000"	"2000/02"	97	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Mar., 2000"	"2000/03"	89	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Apr., 2000"	"2000/04"	89	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"May, 2000"	"2000/05"	71	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jun., 2000"	"2000/06"	63	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jul., 2000"	"2000/07"	71	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Aug., 2000"	"2000/08"	56	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Sep., 2000"	"2000/09"	81	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Oct., 2000"	"2000/10"	58	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Nov., 2000"	"2000/11"	72	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Dec., 2000"	"2000/12"	74	Not Applicable	Not Applicable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"			929	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Jan., 2001"	"2001/01"	127	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Feb., 2001"	"2001/02"	100	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Mar., 2001"	"2001/03"	114	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Apr., 2001"	"2001/04"	78	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"May, 2001"	"2001/05"	75	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Jun., 2001"	"2001/06"	58	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Jul., 2001"	"2001/07"	61	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Aug., 2001"	"2001/08"	75	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Sep., 2001"	"2001/09"	68	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Oct., 2001"	"2001/10"	83	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Nov., 2001"	"2001/11"	75	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Dec., 2001"	"2001/12"	82	Not Applicable	Not Applicable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"			996	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Jan., 2002"	"2002/01"	89	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Feb., 2002"	"2002/02"	123	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Mar., 2002"	"2002/03"	99	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Apr., 2002"	"2002/04"	65	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"May, 2002"	"2002/05"	72	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Jun., 2002"	"2002/06"	83	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Jul., 2002"	"2002/07"	74	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Aug., 2002"	"2002/08"	71	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Sep., 2002"	"2002/09"	63	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Oct., 2002"	"2002/10"	80	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Nov., 2002"	"2002/11"	79	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Dec., 2002"	"2002/12"	83	Not Applicable	Not Applicable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"			981	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Jan., 2003"	"2003/01"	76	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Feb., 2003"	"2003/02"	94	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Mar., 2003"	"2003/03"	82	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Apr., 2003"	"2003/04"	74	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"May, 2003"	"2003/05"	60	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Jun., 2003"	"2003/06"	65	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Jul., 2003"	"2003/07"	71	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Aug., 2003"	"2003/08"	46	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Sep., 2003"	"2003/09"	74	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Oct., 2003"	"2003/10"	79	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Nov., 2003"	"2003/11"	75	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Dec., 2003"	"2003/12"	81	Not Applicable	Not Applicable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"			877	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"Jan., 2004"	"2004/01"	78	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"Feb., 2004"	"2004/02"	87	Not Applicable	Not Applicable
