"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Jan., 1999"	"1999/01"	119	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Feb., 1999"	"1999/02"	88	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Mar., 1999"	"1999/03"	138	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Apr., 1999"	"1999/04"	104	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"May, 1999"	"1999/05"	103	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Jun., 1999"	"1999/06"	89	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Jul., 1999"	"1999/07"	85	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Aug., 1999"	"1999/08"	81	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Sep., 1999"	"1999/09"	71	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Oct., 1999"	"1999/10"	78	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Nov., 1999"	"1999/11"	99	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Dec., 1999"	"1999/12"	114	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Jan., 2000"	"2000/01"	147	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Feb., 2000"	"2000/02"	124	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Mar., 2000"	"2000/03"	134	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Apr., 2000"	"2000/04"	117	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"May, 2000"	"2000/05"	127	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Jun., 2000"	"2000/06"	113	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Jul., 2000"	"2000/07"	105	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Aug., 2000"	"2000/08"	102	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Sep., 2000"	"2000/09"	97	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Oct., 2000"	"2000/10"	90	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Nov., 2000"	"2000/11"	88	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Dec., 2000"	"2000/12"	136	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Jan., 2001"	"2001/01"	148	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Feb., 2001"	"2001/02"	130	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Mar., 2001"	"2001/03"	144	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Apr., 2001"	"2001/04"	128	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"May, 2001"	"2001/05"	140	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Jun., 2001"	"2001/06"	130	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Jul., 2001"	"2001/07"	110	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Aug., 2001"	"2001/08"	127	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Sep., 2001"	"2001/09"	126	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Oct., 2001"	"2001/10"	130	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Nov., 2001"	"2001/11"	115	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Dec., 2001"	"2001/12"	163	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Jan., 2002"	"2002/01"	196	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Feb., 2002"	"2002/02"	201	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Mar., 2002"	"2002/03"	264	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Apr., 2002"	"2002/04"	215	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"May, 2002"	"2002/05"	211	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Jun., 2002"	"2002/06"	197	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Jul., 2002"	"2002/07"	199	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Aug., 2002"	"2002/08"	176	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Sep., 2002"	"2002/09"	164	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Oct., 2002"	"2002/10"	193	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Nov., 2002"	"2002/11"	213	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Dec., 2002"	"2002/12"	272	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Jan., 2003"	"2003/01"	282	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Feb., 2003"	"2003/02"	276	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Mar., 2003"	"2003/03"	257	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Apr., 2003"	"2003/04"	264	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"May, 2003"	"2003/05"	274	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Jun., 2003"	"2003/06"	232	Not Applicable	Not Applicable
