"Notes"	"ICD Chapter"	"ICD Chapter Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jan., 1999"	"1999/01"	888	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Feb., 1999"	"1999/02"	858	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Mar., 1999"	"1999/03"	873	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Apr., 1999"	"1999/04"	818	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"May, 1999"	"1999/05"	819	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jun., 1999"	"1999/06"	785	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jul., 1999"	"1999/07"	835	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Aug., 1999"	"1999/08"	808	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Sep., 1999"	"1999/09"	784	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Oct., 1999"	"1999/10"	832	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Nov., 1999"	"1999/11"	780	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Dec., 1999"	"1999/12"	938	Not Applicable	Not Applicable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"			10018	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jan., 2000"	"2000/01"	998	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Feb., 2000"	"2000/02"	831	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Mar., 2000"	"2000/03"	793	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Apr., 2000"	"2000/04"	768	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"May, 2000"	"2000/05"	782	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jun., 2000"	"2000/06"	752	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jul., 2000"	"2000/07"	801	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Aug., 2000"	"2000/08"	813	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Sep., 2000"	"2000/09"	714	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Oct., 2000"	"2000/10"	771	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Nov., 2000"	"2000/11"	840	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Dec., 2000"	"2000/12"	853	Not Applicable	Not Applicable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"			9716	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Jan., 2001"	"2001/01"	1004	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Feb., 2001"	"2001/02"	816	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Mar., 2001"	"2001/03"	855	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Apr., 2001"	"2001/04"	770	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"May, 2001"	"2001/05"	779	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Jun., 2001"	"2001/06"	755	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Jul., 2001"	"2001/07"	754	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Aug., 2001"	"2001/08"	822	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Sep., 2001"	"2001/09"	714	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Oct., 2001"	"2001/10"	791	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Nov., 2001"	"2001/11"	790	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Dec., 2001"	"2001/12"	818	Not Applicable	Not Applicable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"			9668	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Jan., 2002"	"2002/01"	910	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Feb., 2002"	"2002/02"	818	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Mar., 2002"	"2002/03"	896	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Apr., 2002"	"2002/04"	778	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"May, 2002"	"2002/05"	836	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Jun., 2002"	"2002/06"	779	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Jul., 2002"	"2002/07"	826	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Aug., 2002"	"2002/08"	796	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Sep., 2002"	"2002/09"	770	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Oct., 2002"	"2002/10"	889	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Nov., 2002"	"2002/11"	831	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Dec., 2002"	"2002/12"	882	Not Applicable	Not Applicable
