"Notes"	"ICD Chapter"	"ICD Chapter Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jan., 1999"	"1999/01"	1619	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Feb., 1999"	"1999/02"	1367	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Mar., 1999"	"1999/03"	1494	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Apr., 1999"	"1999/04"	1290	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"May, 1999"	"1999/05"	1176	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jun., 1999"	"1999/06"	1102	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jul., 1999"	"1999/07"	1171	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Aug., 1999"	"1999/08"	1174	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Sep., 1999"	"1999/09"	1114	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Oct., 1999"	"1999/10"	1193	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Nov., 1999"	"1999/11"	1229	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Dec., 1999"	"1999/12"	1358	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jan., 2000"	"2000/01"	1581	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Feb., 2000"	"2000/02"	1340	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Mar., 2000"	"2000/03"	1309	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Apr., 2000"	"2000/04"	1207	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"May, 2000"	"2000/05"	1161	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jun., 2000"	"2000/06"	1160	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jul., 2000"	"2000/07"	1162	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Aug., 2000"	"2000/08"	1202	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Sep., 2000"	"2000/09"	1159	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Oct., 2000"	"2000/10"	1169	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Nov., 2000"	"2000/11"	1239	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Dec., 2000"	"2000/12"	1300	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Jan., 2001"	"2001/01"	1421	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Feb., 2001"	"2001/02"	1312	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Mar., 2001"	"2001/03"	1368	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Apr., 2001"	"2001/04"	1189	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"May, 2001"	"2001/05"	1232	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Jun., 2001"	"2001/06"	1184	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Jul., 2001"	"2001/07"	1192	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Aug., 2001"	"2001/08"	1158	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Sep., 2001"	"2001/09"	1193	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Oct., 2001"	"2001/10"	1350	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Nov., 2001"	"2001/11"	1252	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Dec., 2001"	"2001/12"	1350	Not Applicable	Not Applicable
