"Notes"	"ICD Chapter"	"ICD Chapter Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jan., 1999"	"1999/01"	813	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Feb., 1999"	"1999/02"	745	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Mar., 1999"	"1999/03"	831	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Apr., 1999"	"1999/04"	690	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"May, 1999"	"1999/05"	688	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jun., 1999"	"1999/06"	656	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Jul., 1999"	"1999/07"	605	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Aug., 1999"	"1999/08"	617	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Sep., 1999"	"1999/09"	671	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Oct., 1999"	"1999/10"	682	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Nov., 1999"	"1999/11"	689	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"1999"	"1999"	"Dec., 1999"	"1999/12"	844	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jan., 2000"	"2000/01"	865	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Feb., 2000"	"2000/02"	731	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Mar., 2000"	"2000/03"	702	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Apr., 2000"	"2000/04"	665	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"May, 2000"	"2000/05"	672	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jun., 2000"	"2000/06"	620	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Jul., 2000"	"2000/07"	570	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Aug., 2000"	"2000/08"	629	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Sep., 2000"	"2000/09"	670	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Oct., 2000"	"2000/10"	670	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Nov., 2000"	"2000/11"	640	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2000"	"2000"	"Dec., 2000"	"2000/12"	721	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Jan., 2001"	"2001/01"	830	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Feb., 2001"	"2001/02"	671	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Mar., 2001"	"2001/03"	815	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Apr., 2001"	"2001/04"	709	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"May, 2001"	"2001/05"	734	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Jun., 2001"	"2001/06"	648	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Jul., 2001"	"2001/07"	670	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Aug., 2001"	"2001/08"	670	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Sep., 2001"	"2001/09"	680	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Oct., 2001"	"2001/10"	701	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Nov., 2001"	"2001/11"	689	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2001"	"2001"	"Dec., 2001"	"2001/12"	793	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Jan., 2002"	"2002/01"	821	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Feb., 2002"	"2002/02"	791	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Mar., 2002"	"2002/03"	867	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Apr., 2002"	"2002/04"	746	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"May, 2002"	"2002/05"	803	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Jun., 2002"	"2002/06"	672	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Jul., 2002"	"2002/07"	707	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Aug., 2002"	"2002/08"	702	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Sep., 2002"	"2002/09"	673	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Oct., 2002"	"2002/10"	780	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Nov., 2002"	"2002/11"	710	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2002"	"2002"	"Dec., 2002"	"2002/12"	788	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Jan., 2003"	"2003/01"	828	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Feb., 2003"	"2003/02"	760	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Mar., 2003"	"2003/03"	808	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Apr., 2003"	"2003/04"	746	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"May, 2003"	"2003/05"	782	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Jun., 2003"	"2003/06"	659	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Jul., 2003"	"2003/07"	821	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Aug., 2003"	"2003/08"	730	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Sep., 2003"	"2003/09"	727	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Oct., 2003"	"2003/10"	769	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Nov., 2003"	"2003/11"	845	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2003"	"2003"	"Dec., 2003"	"2003/12"	962	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"Jan., 2004"	"2004/01"	931	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"Feb., 2004"	"2004/02"	826	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"Mar., 2004"	"2004/03"	902	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"Apr., 2004"	"2004/04"	791	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"May, 2004"	"2004/05"	746	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"Jun., 2004"	"2004/06"	765	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"Jul., 2004"	"2004/07"	752	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"Aug., 2004"	"2004/08"	776	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"Sep., 2004"	"2004/09"	748	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"Oct., 2004"	"2004/10"	806	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"Nov., 2004"	"2004/11"	729	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2004"	"2004"	"Dec., 2004"	"2004/12"	863	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2005"	"2005"	"Jan., 2005"	"2005/01"	860	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2005"	"2005"	"Feb., 2005"	"2005/02"	804	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2005"	"2005"	"Mar., 2005"	"2005/03"	905	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2005"	"2005"	"Apr., 2005"	"2005/04"	852	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2005"	"2005"	"May, 2005"	"2005/05"	820	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2005"	"2005"	"Jun., 2005"	"2005/06"	761	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2005"	"2005"	"Jul., 2005"	"2005/07"	790	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2005"	"2005"	"Aug., 2005"	"2005/08"	755	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2005"	"2005"	"Sep., 2005"	"2005/09"	729	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2005"	"2005"	"Oct., 2005"	"2005/10"	835	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2005"	"2005"	"Nov., 2005"	"2005/11"	824	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2005"	"2005"	"Dec., 2005"	"2005/12"	945	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2006"	"2006"	"Jan., 2006"	"2006/01"	942	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2006"	"2006"	"Feb., 2006"	"2006/02"	850	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2006"	"2006"	"Mar., 2006"	"2006/03"	985	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2006"	"2006"	"Apr., 2006"	"2006/04"	893	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2006"	"2006"	"May, 2006"	"2006/05"	816	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2006"	"2006"	"Jun., 2006"	"2006/06"	767	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2006"	"2006"	"Jul., 2006"	"2006/07"	758	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2006"	"2006"	"Aug., 2006"	"2006/08"	839	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2006"	"2006"	"Sep., 2006"	"2006/09"	763	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2006"	"2006"	"Oct., 2006"	"2006/10"	853	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2006"	"2006"	"Nov., 2006"	"2006/11"	834	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2006"	"2006"	"Dec., 2006"	"2006/12"	947	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2007"	"2007"	"Jan., 2007"	"2007/01"	1008	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2007"	"2007"	"Feb., 2007"	"2007/02"	866	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2007"	"2007"	"Mar., 2007"	"2007/03"	896	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2007"	"2007"	"Apr., 2007"	"2007/04"	822	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2007"	"2007"	"May, 2007"	"2007/05"	836	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2007"	"2007"	"Jun., 2007"	"2007/06"	796	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2007"	"2007"	"Jul., 2007"	"2007/07"	827	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2007"	"2007"	"Aug., 2007"	"2007/08"	810	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2007"	"2007"	"Sep., 2007"	"2007/09"	770	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2007"	"2007"	"Oct., 2007"	"2007/10"	818	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2007"	"2007"	"Nov., 2007"	"2007/11"	832	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2007"	"2007"	"Dec., 2007"	"2007/12"	924	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2008"	"2008"	"Jan., 2008"	"2008/01"	949	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2008"	"2008"	"Feb., 2008"	"2008/02"	1009	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2008"	"2008"	"Mar., 2008"	"2008/03"	1014	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2008"	"2008"	"Apr., 2008"	"2008/04"	896	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2008"	"2008"	"May, 2008"	"2008/05"	875	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2008"	"2008"	"Jun., 2008"	"2008/06"	829	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2008"	"2008"	"Jul., 2008"	"2008/07"	833	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2008"	"2008"	"Aug., 2008"	"2008/08"	852	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2008"	"2008"	"Sep., 2008"	"2008/09"	741	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2008"	"2008"	"Oct., 2008"	"2008/10"	824	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2008"	"2008"	"Nov., 2008"	"2008/11"	816	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2008"	"2008"	"Dec., 2008"	"2008/12"	878	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2009"	"2009"	"Jan., 2009"	"2009/01"	1018	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2009"	"2009"	"Feb., 2009"	"2009/02"	902	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2009"	"2009"	"Mar., 2009"	"2009/03"	1020	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2009"	"2009"	"Apr., 2009"	"2009/04"	927	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2009"	"2009"	"May, 2009"	"2009/05"	944	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2009"	"2009"	"Jun., 2009"	"2009/06"	788	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2009"	"2009"	"Jul., 2009"	"2009/07"	879	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2009"	"2009"	"Aug., 2009"	"2009/08"	905	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2009"	"2009"	"Sep., 2009"	"2009/09"	863	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2009"	"2009"	"Oct., 2009"	"2009/10"	897	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2009"	"2009"	"Nov., 2009"	"2009/11"	931	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2009"	"2009"	"Dec., 2009"	"2009/12"	997	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2010"	"2010"	"Jan., 2010"	"2010/01"	981	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2010"	"2010"	"Feb., 2010"	"2010/02"	855	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2010"	"2010"	"Mar., 2010"	"2010/03"	1019	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2010"	"2010"	"Apr., 2010"	"2010/04"	960	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2010"	"2010"	"May, 2010"	"2010/05"	949	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2010"	"2010"	"Jun., 2010"	"2010/06"	865	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2010"	"2010"	"Jul., 2010"	"2010/07"	859	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2010"	"2010"	"Aug., 2010"	"2010/08"	829	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2010"	"2010"	"Sep., 2010"	"2010/09"	859	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2010"	"2010"	"Oct., 2010"	"2010/10"	855	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2010"	"2010"	"Nov., 2010"	"2010/11"	875	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2010"	"2010"	"Dec., 2010"	"2010/12"	986	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2011"	"2011"	"Jan., 2011"	"2011/01"	1013	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2011"	"2011"	"Feb., 2011"	"2011/02"	895	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2011"	"2011"	"Mar., 2011"	"2011/03"	1064	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2011"	"2011"	"Apr., 2011"	"2011/04"	945	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2011"	"2011"	"May, 2011"	"2011/05"	938	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2011"	"2011"	"Jun., 2011"	"2011/06"	886	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2011"	"2011"	"Jul., 2011"	"2011/07"	824	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2011"	"2011"	"Aug., 2011"	"2011/08"	859	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2011"	"2011"	"Sep., 2011"	"2011/09"	841	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2011"	"2011"	"Oct., 2011"	"2011/10"	868	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2011"	"2011"	"Nov., 2011"	"2011/11"	883	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2011"	"2011"	"Dec., 2011"	"2011/12"	958	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2012"	"2012"	"Jan., 2012"	"2012/01"	1020	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2012"	"2012"	"Feb., 2012"	"2012/02"	960	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2012"	"2012"	"Mar., 2012"	"2012/03"	1005	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2012"	"2012"	"Apr., 2012"	"2012/04"	1004	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"2012"	"2012"	"May, 2012"	"2012/05"	901	Not Applicable	Not Applicable
