"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Jan., 1999"	"1999/01"	72	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Feb., 1999"	"1999/02"	46	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Mar., 1999"	"1999/03"	70	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Apr., 1999"	"1999/04"	61	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"May, 1999"	"1999/05"	63	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Jun., 1999"	"1999/06"	46	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Jul., 1999"	"1999/07"	49	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Aug., 1999"	"1999/08"	45	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Sep., 1999"	"1999/09"	32	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Oct., 1999"	"1999/10"	43	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Nov., 1999"	"1999/11"	56	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Dec., 1999"	"1999/12"	68	Not Applicable	Not Applicable
"Total"	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"			651	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Jan., 2000"	"2000/01"	91	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Feb., 2000"	"2000/02"	78	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Mar., 2000"	"2000/03"	70	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Apr., 2000"	"2000/04"	71	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"May, 2000"	"2000/05"	72	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Jun., 2000"	"2000/06"	56	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Jul., 2000"	"2000/07"	58	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Aug., 2000"	"2000/08"	49	Not Applicable	Not Applicable
