"Notes"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Jan., 1999"	"1999/01"	34	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Feb., 1999"	"1999/02"	31	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Mar., 1999"	"1999/03"	57	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Apr., 1999"	"1999/04"	35	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"May, 1999"	"1999/05"	35	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Jun., 1999"	"1999/06"	32	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Jul., 1999"	"1999/07"	27	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Aug., 1999"	"1999/08"	25	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Sep., 1999"	"1999/09"	27	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Oct., 1999"	"1999/10"	29	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Nov., 1999"	"1999/11"	37	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"1999"	"1999"	"Dec., 1999"	"1999/12"	36	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Jan., 2000"	"2000/01"	44	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Feb., 2000"	"2000/02"	38	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Mar., 2000"	"2000/03"	46	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Apr., 2000"	"2000/04"	36	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"May, 2000"	"2000/05"	43	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Jun., 2000"	"2000/06"	43	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Jul., 2000"	"2000/07"	37	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Aug., 2000"	"2000/08"	46	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Sep., 2000"	"2000/09"	33	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Oct., 2000"	"2000/10"	35	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Nov., 2000"	"2000/11"	31	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2000"	"2000"	"Dec., 2000"	"2000/12"	59	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Jan., 2001"	"2001/01"	47	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Feb., 2001"	"2001/02"	42	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Mar., 2001"	"2001/03"	51	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Apr., 2001"	"2001/04"	48	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"May, 2001"	"2001/05"	44	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Jun., 2001"	"2001/06"	42	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Jul., 2001"	"2001/07"	38	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Aug., 2001"	"2001/08"	35	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Sep., 2001"	"2001/09"	46	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Oct., 2001"	"2001/10"	43	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Nov., 2001"	"2001/11"	35	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2001"	"2001"	"Dec., 2001"	"2001/12"	58	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Jan., 2002"	"2002/01"	68	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Feb., 2002"	"2002/02"	69	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Mar., 2002"	"2002/03"	82	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Apr., 2002"	"2002/04"	71	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"May, 2002"	"2002/05"	61	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Jun., 2002"	"2002/06"	76	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Jul., 2002"	"2002/07"	82	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Aug., 2002"	"2002/08"	76	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Sep., 2002"	"2002/09"	58	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Oct., 2002"	"2002/10"	67	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Nov., 2002"	"2002/11"	90	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2002"	"2002"	"Dec., 2002"	"2002/12"	85	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Jan., 2003"	"2003/01"	91	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Feb., 2003"	"2003/02"	85	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Mar., 2003"	"2003/03"	91	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Apr., 2003"	"2003/04"	90	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"May, 2003"	"2003/05"	93	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Jun., 2003"	"2003/06"	79	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Jul., 2003"	"2003/07"	82	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Aug., 2003"	"2003/08"	82	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Sep., 2003"	"2003/09"	92	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Oct., 2003"	"2003/10"	106	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Nov., 2003"	"2003/11"	74	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2003"	"2003"	"Dec., 2003"	"2003/12"	92	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Jan., 2004"	"2004/01"	153	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Feb., 2004"	"2004/02"	118	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Mar., 2004"	"2004/03"	132	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Apr., 2004"	"2004/04"	119	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"May, 2004"	"2004/05"	115	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Jun., 2004"	"2004/06"	123	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Jul., 2004"	"2004/07"	133	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Aug., 2004"	"2004/08"	115	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Sep., 2004"	"2004/09"	113	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Oct., 2004"	"2004/10"	115	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Nov., 2004"	"2004/11"	120	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2004"	"2004"	"Dec., 2004"	"2004/12"	153	Not Applicable	Not Applicable
	"Intestinal infectious diseases"	"A00-A09"	"2005"	"2005"	"Jan., 2005"	"2005/01"	166	Not Applicable	Not Applicable
